Kdn.;Name;Name_2;Name_3;Straße;Plz;Ort;Land;Telefon;Telefax;E-Mail;WWW;Verbands- code;Verband;Vertreter- code;Vertretername;Tel. Vertreter;E-Mail-Vertreter;Verbandsnummer
34034;R+M  de Wit GmbH;;;Heidestraße 11;42549;Velbert;Deutschland;02051 / 948570;02051 / 9485795;info@rm-dewit.com;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
29069;HDR-Zentrale Schmitz;Inh.T.& D.Schmitz GbR;;Schmidtmannstr. 2;45883;Gelsenkirchen;Deutschland;0209 / 42324;0209 / 42325;info@schmitz-kraenzle.de;www.schmitz-kraenzle.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
30073;STORCH GmbH;Malerwerkzeuge & Profigeräte;;Platz der Republik 6 - 8;42107;Wuppertal;Deutschland;0202/4920-242;0202/4920-244;;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18389;Hünnekens GmbH & Co. KG;;;Gutenbergstr. 2;47638;Straelen;Deutschland;02834 / 942950;02834 / 8296;info@huennekens-gartengeraete.de;www.huennekens-gartengeraete.de;38;IRMS;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
27185;AGRAVIS Technik;Ahaus-Borken GmbH;;Weseler Str. 2;46325;Borken;Deutschland;02861 / 92624;02861 / 92650;werner.wanning@agravis.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
12701;Brinkert GmbH & Co. KG;;;Münsterstr. 41;46244;Bottrop;Deutschland;02045 / 2712;02045 / 85331;Kontakt@Gartengeraete-Brinkert.de;www.Gartengeraete-Brinkert.de;38;IRMS;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;I.R.M.S 115-313
27330;Rebi GmbH;Maschinenbau und Autozubehör;;Friedenstrasse 127-129;42699;Solingen;Deutschland;0212 / 262520;0212 / 60887;k.decker@rebi-gmbh.de;www.rebi-gmbh.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18205;Motoren Missing GmbH;;;Hessenweg 15;40667;Meerbusch;Deutschland;02132-8668;02132-80189;info@motoren-missing.de;www.motoren-missing.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10058
27028;RHS-Paulus, Reinigungs- und;Heizungsgeräteserv. Michael Paulus e.k.;;Alter Werner Hellweg 135;44803;Bochum;Deutschland;0234-360637;0234-354980;service@rhs-paulus.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
29268;Andreas Schäfer;Metallbau + Landmaschinenrep.;;Hösinghausen 1 + 22;58540;Meinerzhagen;Deutschland;02358 / 2727900;02358 / 27279099;conrady@schaefer-valbert.de;www.schaefer-valbert.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
13079;Berndt Deubner;Baumasch. u.Geräte GmbH & Co.;;Schönebergstr. 9;52068;Aachen;Deutschland;0241 / 9682035;0241 / 9682015;jorigas@deubner-bau.de;www.deubner-bau.de;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 316 563
35050;Zimmermann GmbH;;;Am Iberg 11;59955;Winterberg-Siedlinghausen;Deutschland;02983 /1066;02983 / 8096;BZ@zimmermann-maschinen.de;www.zimmermann-maschinen.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
20273;Rudolf Krämer;Eisenwaren GmbH;;Asterlager Str. 61;47228;Duisburg;Deutschland;02065/69060;02065 / 690650;Krampe@eisen-kraemer.de;;47;Krämer, Duisburg;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Krämer Einkauf+Marketing Gruppe (KEM)
25179;Johannes Pickmann;;;Endtschestrasse 6;47627;Kevelaer-Kervenheim;Deutschland;02825 / 8448;02825 / 8450;Kraenzle@pickmann.de;www.pickmann.de;38;IRMS;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;I.R.M.S. 330
18360;Kohl Garten- und Kommunaltechnik;Inh. Elmar Kohl;;Pascalstrasse 13;52076;Aachen;Deutschland;02408-2061;02408-6562;gartengeraete-kohl@t-online.de;;30;Sümo;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Sümo 12210
37021;Claus & Mathes GmbH;Technikcentrum;;Am Rosenbaum 37;40882;Ratingen;Deutschland;02102/540413;02102 / 540444;kneerbernd@claus-mathes.de;www.claus-mathes.de;39;HLT;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;HLT 21015
25095;Putzier Werkzeuge und;Eisenwaren GmbH;;Arndstraße 27;44534;Lünen;Deutschland;02306 / 758800;02306 / 71056;d.putzier@putzier.net;www.putzier.net;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 208 205
18206;Horstmann GmbH;;;Hansastr. 17;40764;Langenfeld;Deutschland;02173-17031;02173-14606;info@horstmann24.de;www.horstmann-gartentechnik.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10031
12004;Borgmann Baupart gmbH;Niederlassung Schwakenberg;;Annnabergstrasse 96;45721;Haltern am See;Deutschland;02364-92120;02364-92124;j.schwakenberg@baupart.de;www.baupart.de;36;EDE-Neu;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 205 711
19079;Klaus Jung Motorgeräte GmbH;;;Rohrstrasse 1;58093;Hagen;Deutschland;02331 / 57378;02331 / 53246;info@jung-motorist.de;www.jung-motorist.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
28148;Salamon + Zimmermann;Reinigungstechnik AG;;Keniastraße 36, in Halle 2;47269;Duisburg;Deutschland;0203 / 48864516;0203 / 48864521;Zentrale@salamon.de , technik@salamon.de;www.salamon.de;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18063;Karl Joachim Peter;Heiz- und Reinigungssysteme;;An der Wildbahn 14;42477;Radevormwald;Deutschland;02195 / 8735;02195 / 932317;;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
13050;Düsing GmbH & Co. KG;;;Braukämper Strasse 95;45899;Gelsenkirchen;Deutschland;0209 / 5800168;0209 / 5800152;info@duesing-ggg.de;www.duesing.ggg.de;5;EDE-Verband;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;EDE 273 970
37119;Coenen UG;(Haftungsbeschränkt);;Schwarzländer Weg 3a;47559;Kranenburg;Deutschland;02821 / 7383047;0031 / 243977288;r.coenen@coenen-groesbeek.nl;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
18209;Q-Zert. Woiwode Garten Technik;;;Industriering Ost 65;47906;Kempen;Deutschland;02152-2841;02152-50695;garten-technik-woiwode@t-online.de;www.garten-technik-woiwode.de;33;rheintec;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;Rheintec 10089
25136;Frank Punsmann;Land- und Melktechnik;;Marbecker Str. 110;46325;Borken;Deutschland;02865/  1574;02865 / 1806;punsmann.landtechnik@t-online.de;;;;21;Frank Marcianó;+49 162 2424145;marciano@kraenzle.com;
